page.status_code,ID,Name,Price,Release_Date,Standing screen display size,Screen Resolution,Max Screen Resolution,Processor,RAM,Memory Speed,Hard Drive,Graphics Coprocessor,Chipset Brand,Card Description,Wireless Type,Number of USB 3.0 Ports,Average Battery Life (in hours),Brand,Series,Item model number,Hardware Platform,Operating System,Item Weight,Product Dimensions,Item Dimensions LxWxH,Color,Processor Brand,Number of Processors,Computer Memory Type,Flash Memory Size,Hard Drive Interface,Optical Drive Type,Power Source,Batteries
200,B07Q7WTWG1,"Lenovo 20L6S06G00 ThinkPad T480 Intel Core i7-8650U 14in FHD (1920x1080) IPS 16 GB RAM, 256GB SSD M.2 PCIe NVMe Opal2 Fingerprint Reader Win10 Pro (Renewed)",$369.90,"March 31, 2019",14 Inches,,1920 x 1080 Pixels,1.9 GHz 8032,16 GB LPDDR4,,256 GB SSD,Intel UHD Graphics 620,Intel,Integrated,,,,Lenovo,20L6S06G00,ThinkPad T480,PC,Windows 10,3.64 pounds,9.2 x 13.3 x 0.8 inches,,,Intel,4,DDR4 SDRAM,256 GB,Solid State,,,1 Lithium Ion batteries required.
200,B09CQB777H,"Lenovo ThinkPad P15v G2 21A9002XUS 15.6"" Mobile Workstation - Full HD - 1920 x 1080 - Intel Core i7 11th Gen i7-11850H Octa-core (8 Core) 2.50 GHz - 32 GB RAM - 1 TB SSD - Black","$1,999.00","August 16, 2021",15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,2.5 GHz core_i7_family,32 GB DDR4,2.5 GHz,1 TB SSD,NVIDIA RTX A2000,NVIDIA,RTX A2000,"Bluetooth, 802.11ax",,,Lenovo,ThinkPad P15v G2,21A9002XUS,PC,Windows 10 Pro,3.9 pounds,9.8 x 14.2 x 0.7 inches,,Black,Intel,1,DDR4 SDRAM,,,No,,1 Lithium Ion batteries required.
200,B0BSR6Z8VL,"Lenovo IdeaPad 3i Laptop for Business & Student, 14"" FHD Display, 11th Gen Intel Core i3-1115G4, 8GB RAM, 256GB SSD, HDMI, WiFi 6, Webcam, SD Card Reader, SPS HDMI Cable, Win 11",,"January 20, 2023",14 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,3 GHz core_i3,8 GB DDR4,,256 GB SSD,Intel UHD Graphics,Intel,Integrated,,,,Lenovo,,81X700FGUS,PC,Windows 11,10 pounds,12.88 x 9.49 x 0.78 inches,,Platinum Grey,Intel,2,SODIMM,,Solid State,,,
200,B09Z252HWB,"Dell 2022 Newest Inspiron 3511 15.6"" FHD Touchscreen Laptop 11th Gen Intel 4-Core i7-1165G7 Iris Xe Graphics 32GB DDR4 1TB NVMe SSD HDMI Bluetooth WiFi AC Webcam Card Reader Windows 11 Home",,"April 28, 2022",15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,2.8 GHz core_i7_family,32 GB DDR4,3200 MHz,1 TB SSD,Intel Iris Xe Graphics,Intel,Integrated,802.11ac,2,,Dell,Inspiron 3000,i3511,PC,Windows 11 Home,3.8 pounds,14.11 x 9.27 x 0.74 inches,,Carbon Black,Intel,4,DDR4 SDRAM,,Solid State,,AC & Battery,
200,B09JGVWVRH,"Lenovo ThinkPad P14s Gen 2 20VX008YUS 14"" Mobile Workstation - Full HD - 1920 x 1080 - Intel Core i7 11th Gen i7-1165G7 Quad-core (4 Core) 2.80 GHz - 8 GB RAM - 256 GB SSD - Black",$989.89,"October 14, 2021",14 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,2.8 GHz core_i7_family,8 GB DDR4,2.8 GHz,256 GB SSD,NVIDIA Quadro T500,NVIDIA,Quadro T500,"Bluetooth, 802.11ax",,,Lenovo,ThinkPad P14s Gen 2,20VX008YUS,PC,Windows 10 Pro,3.24 pounds,8.9 x 13 x 0.7 inches,,Black,Intel,1,DDR4 SDRAM,256 GB,,,,1 Lithium Ion batteries required.
200,B09QFTGPQC,"2022 Newest HP EliteBook 840 G8 14 FHD Business Laptop Computer, 11th Gen Intel 4 Core i5 1135G7(up Silver 16GB RAM I 512GB SSD",$839.99,"January 14, 2022",14 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,4.2 GHz core_i5,16 GB SDRAM,,512 GB SSD,Intel Iris Xe Graphics,Intel,Integrated,"Bluetooth, 802.11ax",,,HP,EliteBook,HP,PC,Windows 10 Pro,3.21 pounds,12.73 x 8.44 x 0.7 inches,,Silver,Intel,4,DDR4 SDRAM,512 GB,Solid State,No Optical Drive,AC & Battery,1 Lithium Ion batteries required.
200,B08S7PP7RQ,"Lenovo Thinkpad E15 Business Laptop, 15.6"" FHD IPS Display, Intel Core i7-10510U, 16GB RAM Memory, 512GB PCIe NVMe SSD, Webcam, Zoom Meeting, Windows 10 Pro, Black","$1,090.98","January 6, 2021",15.6 Inches,,,1.8 GHz,16 GB,1.8 GHz,Solid State Hard Drive,,Intel,Integrated,Bluetooth,,,Lenovo,Lenovo Thinkpad,E-B,,Windows 10 Pro,4.19 pounds,14.11 x 9.27 x 0.91 inches,,,Intel,4,DDR4 SDRAM,512 GB,,,Battery Powered,1 Lithium Ion batteries required. (included)
200,B08W3PDZY7,"Lenovo IdeaPad 5 15.6"" Touch, i7-1165G7, 12GB, 512GB SSD, 82",$739.99,"February 6, 2021",,,,,,,,,,,,,,,,82FG0002US,,,3.66 pounds,9.2 x 14 x 0.78 inches,,,,,,,,,,
200,B08DFNHKNM,"Lenovo Legion Y540-15 Gaming Laptop, 15.6"" IPS, 60Hz, 300 nits, Intel Core i7-9750H Processor, 16G DDR4 2666Mz, 512GB, 1TB 7200, NVIDIA GTX1660Ti, Win 10, 81SX00NNUS, Raven Black (Renewed)",$899.66,"July 22, 2020",15.6 Inches,,1920 x 1080 Pixels,2.6 GHz apple_ci7,16 GB DDR4,2666 MHz,1 TB HDD,NVIDIA GeForce GTX 1660Ti,NVIDIA,Dedicated,Bluetooth,,,Lenovo,Lenovo Legion,81SX00NNUS-cr,PC,Windows 10,5.1 pounds,14.17 x 10.51 x 1.02 inches,,Black,Intel,1,DDR4 SDRAM,,USB,,,
200,B08HLGN366,"HP 14"" FHD Laptop Intel Processor i5-1035G1 12GBRAM 256GB Solid State Drive Backlit Keyboard Integrated Intel UHD Graphics",$588.00,"September 7, 2020",14 Inches,,1920 x 1080 Pixels,1 GHz core_i5,12 GB DDR4,,256 GB SSD,Intel UHD Graphics,Intel,Integrated,Bluetooth,,,HP,Notebook,14-dq1035cl,PC,Windows 10,4.44 pounds,,,,Intel,2,DDR4 SDRAM,256 GB,Solid State,,,1 Lithium Polymer batteries required. (included)
200,B0BG429PYX,"ASUS 15.6"" CM5500FDA Chromebook Flip Laptop - AMD Ryzen 5-3500C 15.6"" Touchscreen Wide View LCD LED-Backlit FHD 8GB DDR4 RAM 128GB PCIe® NVMe™ M.2 Solid State Drive",$731.48,"September 22, 2022",15.6 Inches,,1920 x 1080 Pixels,2.1 GHz ryzen_5,8 GB DDR4,,SSD,,AMD,Integrated,Bluetooth,3,8 Hours,ASUS,CM5500FDA-IN588T,CM5500FDA-IN588T,,Chrome OS,4.2 pounds,13 x 9 x 1 inches,,,AMD,4,,8 GB,Solid State,,,1 Lithium Ion batteries required. (included)
