200,B01B16MXLU,"Lenovo Thinkpad Yoga 2-in-1 Convertible 11.6-inch IPS Touchscreen Laptop(Tablet), Intel Quad Core Processor, 4GB DDR3L, 128GB SSD, HDMI, Bluetooth, Webcam, AC Wifi, Windows 10 Professional",$299.99,"August 28, 2015",11.6 Inches,,,1.83 GHz celeron,4 GB DDR3L,1600 MHz,128 GB SSD,Intel HD graphics,Intel,Integrated,"802.11n, 802.11b, 802.11g",,,Lenovo,Thinkpad 11e,20D90027US,Windows,Windows 10 Pro 64,3.51 pounds,11.81 x 8.5 x 0.9 inches,,Black,Intel,4,DDR3 SDRAM,128 GB,,,Battery Powered,1 Lithium Ion batteries required. (included)
200,B09DBWS8JX,2021 HP Envy Laptop 13.3 inch FHD IPS Evo Platform 4-Core Intel i5-1135G7 Iris Xe Graphics 8GB DDR4 512GB NVMe SSD WI-FI 6 Win 10 Pro Fingerprint Backlit Keyboard w/ Ontrend 32GB USB,,"August 22, 2021",13.3 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,2.4 GHz core_i5_family,8 GB DDR4,,512 GB SSD,Intel Iris Xe Graphics,Intel,Integrated,802.11ax,3,6 Hours,HP,13-BA1047WM,13-BA1047WM,PC,Windows 10 Pro,7 pounds,12.05 x 8.35 x 0.58 inches,,Silver,Intel,4,DDR4 SDRAM,,PCIE x 4,,AC & Battery,
200,B0B52CFGFV,"Dell Latitude 5000 5520 15.6"" Notebook - Full HD - 1920 x 1080 - Intel Core i5 11th Gen i5-1145G7 Quad-core (4 Core) 2.60 GHz - 8 GB Total RAM - 256 GB SSD - Titan Gray",$789.00,"June 24, 2022",15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,2.6 GHz core_i5,8 GB DDR4,,256 GB SSD,Intel Iris Xe Graphics,Intel,Iris Xe Graphics,,,,Dell,Latitude 5000,5520,PC,Windows 10 Pro,3.51 pounds,19.3 x 12.7 x 2.8 inches,,Titan Gray,Intel,1,DDR4 SDRAM,,,No,,
200,B08KXP2849,"HP 14"" HD (1366x768) BrightView Micro-Edge Laptop Computer, Intel Celeron N4020, 4GB DDR4, 64GB eMMC, WiFi, Bluetooth, Webcam, USB 3.1-C, HDMI, Media Card Reader, Windows 10 S, 64GB ABYS MicroSD Card",$270.00,"June 19, 2020",14 Inches,,,,4 GB,2.8 GHz,,,Intel,Integrated,"Bluetooth, Infrared, 802.11a",,,HP,,14-dq,,"Windows 10 Pro, Windows 10 Home, Windows 10 S, Windows, Windows 10",3.52 pounds,13.6 x 8.2 x 0.72 inches,,,Intel,2,DDR4 SDRAM,64 GB,,,,
200,B07DWT4D3G,"2018 Lenovo 330 17.3"" HD+ LED Backlight Laptop Computer, 8th Gen Quad Core i5-8250U up to 3.40GHz, 8GB DDR4 RAM, 1TB HDD, DVDRW, 802.11ac WiFi, Bluetooth, Type-C, HDMI, Windows 10",$599.00,"June 21, 2018",17.3 Inches,,,3.4 GHz core_i5,12 GB DDR4,3.4 GHz,HDD,Intergrated,Intel,Integrated,802.11ac,,,Lenovo,,Ideapad 330,,Windows 10 Home,1.04 pounds,16.46 x 11.52 x 0.98 inches,,,Intel,4,DDR4 SDRAM,1 TB,,,Battery Powered,1 Lithium Ion batteries required.
200,B0B52CFGFV,"Dell Latitude 5000 5520 15.6"" Notebook - Full HD - 1920 x 1080 - Intel Core i5 11th Gen i5-1145G7 Quad-core (4 Core) 2.60 GHz - 8 GB Total RAM - 256 GB SSD - Titan Gray",$789.00,"June 24, 2022",15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,2.6 GHz core_i5,8 GB DDR4,,256 GB SSD,Intel Iris Xe Graphics,Intel,Iris Xe Graphics,,,,Dell,Latitude 5000,5520,PC,Windows 10 Pro,3.51 pounds,19.3 x 12.7 x 2.8 inches,,Titan Gray,Intel,1,DDR4 SDRAM,,,No,,
200,B08KXP2849,"HP 14"" HD (1366x768) BrightView Micro-Edge Laptop Computer, Intel Celeron N4020, 4GB DDR4, 64GB eMMC, WiFi, Bluetooth, Webcam, USB 3.1-C, HDMI, Media Card Reader, Windows 10 S, 64GB ABYS MicroSD Card",$270.00,"June 19, 2020",14 Inches,,,,4 GB,2.8 GHz,,,Intel,Integrated,"Bluetooth, Infrared, 802.11a",,,HP,,14-dq,,"Windows 10 Pro, Windows 10 Home, Windows 10 S, Windows, Windows 10",3.52 pounds,13.6 x 8.2 x 0.72 inches,,,Intel,2,DDR4 SDRAM,64 GB,,,,
200,B07DWT4D3G,"2018 Lenovo 330 17.3"" HD+ LED Backlight Laptop Computer, 8th Gen Quad Core i5-8250U up to 3.40GHz, 8GB DDR4 RAM, 1TB HDD, DVDRW, 802.11ac WiFi, Bluetooth, Type-C, HDMI, Windows 10",$599.00,"June 21, 2018",17.3 Inches,,,3.4 GHz core_i5,12 GB DDR4,3.4 GHz,HDD,Intergrated,Intel,Integrated,802.11ac,,,Lenovo,,Ideapad 330,,Windows 10 Home,1.04 pounds,16.46 x 11.52 x 0.98 inches,,,Intel,4,DDR4 SDRAM,1 TB,,,Battery Powered,1 Lithium Ion batteries required.
200,B07FKQNVWL,Apple Leather Sleeve (for 13-inch MacBook Air and MacBook Pro) – Black,$144.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,B09GNVZ2LV,"HP ZBook Firefly 15 G8 15.6"" 60Hz FHD Workstation IPS Laptop (Intel i7-1165G7 4-Core, 64GB RAM, 8TB PCIe SSD, Intel Iris Xe, (1920x1080), Fingerprint, WiFi, BT 5.2, Backlit KB, Win 10 Pro) with Hub","$5,599.00","November 1, 2021",15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,2.8 GHz core_i7,64 GB SO-DIMM,2.8 GHz,8 TB SSD,Intel Iris Xe Graphics,Intel,Integrated,Bluetooth,,,HP,ZBook Firefly 15 G8,,PC,Windows 10 Pro,4 pounds,10 x 15 x 1 inches,,,Intel,4,DDR4 SDRAM,,USB 3.1,,Battery Powered,
